timestamp_iso,elapsed_sec,host_frame_index,device_frame_index,device_millis,value_unit,R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,R5C7,R6C1,R6C2,R6C3,R6C4,R6C5,R6C6,R6C7,R7C1,R7C2,R7C3,R7C4,R7C5,R7C6,R7C7
2026-06-01T12:32:32.710,1.198,1,547244,4770653,V,2.712528,2.586007,2.558608,2.561026,2.575531,2.590842,2.697216,2.523150,2.440146,2.516703,2.567472,2.536850,2.588425,2.681905,2.718168,2.540073,2.565861,2.647253,2.616630,2.573919,2.658535,2.723809,2.553773,2.530403,2.573113,2.436923,2.528791,2.590037,2.700439,2.543297,2.585202,2.633553,2.598095,2.606960,2.698022,2.592454,2.448205,2.413553,2.530403,2.407912,2.491722,2.601319,2.781026,2.691575,2.704469,2.742344,2.709304,2.699634,2.767326
2026-06-01T12:32:32.710,1.199,2,547245,4770662,V,2.711722,2.590037,2.546520,2.557802,2.574725,2.595678,2.704469,2.523150,2.437729,2.497363,2.571502,2.543297,2.585202,2.682711,2.708498,2.538461,2.561026,2.645641,2.615018,2.581172,2.658535,2.694798,2.549744,2.539267,2.573919,2.420806,2.536044,2.596483,2.699634,2.538461,2.587619,2.636776,2.594872,2.608571,2.692381,2.592454,2.446593,2.412747,2.530403,2.396630,2.490110,2.602930,2.793919,2.690769,2.708498,2.744762,2.718168,2.692381,2.770549
2026-06-01T12:32:32.711,1.199,3,547246,4770670,V,2.707692,2.589231,2.544908,2.552161,2.576337,2.591648,2.710110,2.522344,2.442564,2.503809,2.567472,2.538461,2.587619,2.684322,2.711722,2.539267,2.562637,2.650476,2.614213,2.588425,2.653700,2.706886,2.552161,2.543297,2.577143,2.436117,2.540073,2.572308,2.705275,2.527179,2.583590,2.629524,2.601319,2.562637,2.705275,2.592454,2.449011,2.412747,2.524762,2.407912,2.491722,2.605348,2.791502,2.689963,2.706080,2.737509,2.711722,2.698828,2.772967
2026-06-01T12:32:32.711,1.199,4,547247,4770679,V,2.715751,2.587619,2.543297,2.557802,2.575531,2.591648,2.705275,2.517509,2.459487,2.503809,2.567472,2.538461,2.584396,2.685128,2.718168,2.540073,2.544102,2.640806,2.619853,2.577143,2.681099,2.694798,2.546520,2.528791,2.575531,2.440146,2.540073,2.592454,2.723809,2.544102,2.606960,2.636776,2.602930,2.612601,2.707692,2.590037,2.444176,2.413553,2.529597,2.399048,2.490916,2.601319,2.783443,2.691575,2.706080,2.741539,2.715751,2.682711,2.740733
2026-06-01T12:32:32.711,1.199,5,547248,4770688,V,2.710916,2.590037,2.544908,2.560220,2.576337,2.579560,2.705275,2.542491,2.440146,2.503004,2.568278,2.539267,2.586007,2.684322,2.741539,2.539267,2.559414,2.646447,2.615824,2.581172,2.627106,2.693187,2.552967,2.539267,2.553773,2.445787,2.523150,2.634359,2.687546,2.537656,2.586007,2.635971,2.595678,2.610183,2.698828,2.590842,2.442564,2.411941,2.531209,2.407912,2.490916,2.602124,2.791502,2.690769,2.705275,2.743956,2.718168,2.701245,2.747985
2026-06-01T12:32:32.711,1.199,6,547249,4770696,V,2.731868,2.580366,2.540073,2.582784,2.572308,2.592454,2.711722,2.520733,2.432088,2.506227,2.567472,2.540073,2.602124,2.688352,2.700439,2.541685,2.558608,2.649670,2.600513,2.578754,2.655311,2.690769,2.567472,2.540073,2.570696,2.435311,2.538461,2.589231,2.694798,2.537656,2.587619,2.640806,2.602930,2.614213,2.698022,2.592454,2.444982,2.413553,2.531209,2.403883,2.491722,2.571502,2.785055,2.691575,2.708498,2.739121,2.760879,2.703663,2.771355
2026-06-01T12:32:32.711,1.199,7,547250,4770705,V,2.706080,2.587619,2.541685,2.554579,2.577949,2.597289,2.710916,2.518315,2.436923,2.499780,2.568278,2.538461,2.576337,2.686740,2.717363,2.540073,2.567472,2.647253,2.614213,2.576337,2.659341,2.705275,2.549744,2.538461,2.576337,2.431282,2.539267,2.589231,2.707692,2.538461,2.589231,2.641612,2.599707,2.611795,2.699634,2.586007,2.452235,2.411135,2.548132,2.403077,2.488498,2.603736,2.801172,2.693187,2.707692,2.743956,2.716557,2.700439,2.768132
2026-06-01T12:32:32.711,1.199,8,547251,4770714,V,2.706080,2.589231,2.540073,2.555385,2.573919,2.574725,2.707692,2.518315,2.432894,2.490110,2.565861,2.538461,2.568278,2.685934,2.706886,2.545714,2.561831,2.640000,2.612601,2.539267,2.663370,2.694798,2.552161,2.539267,2.571502,2.436117,2.543297,2.609377,2.695604,2.536044,2.605348,2.660146,2.588425,2.610989,2.702051,2.592454,2.453040,2.407106,2.527179,2.405494,2.494139,2.603736,2.789890,2.694798,2.704469,2.729450,2.712528,2.695604,2.770549
2026-06-01T12:32:32.711,1.199,9,547252,4770723,V,2.702051,2.582784,2.540073,2.550550,2.576337,2.600513,2.709304,2.516703,2.434505,2.501392,2.570696,2.538461,2.589231,2.661758,2.714139,2.540879,2.568278,2.647253,2.611795,2.582784,2.664982,2.661758,2.539267,2.539267,2.576337,2.439341,2.542491,2.607765,2.716557,2.537656,2.587619,2.638388,2.598901,2.610989,2.723004,2.588425,2.440952,2.405494,2.524762,2.405494,2.492527,2.602930,2.791502,2.672234,2.704469,2.744762,2.713333,2.699634,2.770549
2026-06-01T12:32:32.711,1.199,10,547253,4770731,V,2.705275,2.583590,2.568278,2.554579,2.573113,2.593260,2.708498,2.519927,2.436923,2.500586,2.545714,2.539267,2.610989,2.679487,2.714945,2.534432,2.554579,2.646447,2.620659,2.580366,2.664982,2.694798,2.535238,2.539267,2.578754,2.437729,2.540073,2.593260,2.693187,2.532820,2.582784,2.637582,2.599707,2.612601,2.699634,2.589231,2.446593,2.411941,2.528791,2.403077,2.491722,2.602930,2.787472,2.696410,2.706886,2.743956,2.716557,2.681905,2.772161
2026-06-01T12:32:32.711,1.199,11,547254,4770740,V,2.706886,2.586813,2.543297,2.552967,2.575531,2.593260,2.708498,2.516703,2.439341,2.499780,2.567472,2.534432,2.587619,2.681905,2.701245,2.540073,2.560220,2.646447,2.612601,2.577143,2.647253,2.695604,2.557802,2.540879,2.576337,2.444982,2.539267,2.588425,2.693993,2.532820,2.582784,2.632747,2.598095,2.613407,2.697216,2.588425,2.439341,2.437729,2.530403,2.407106,2.495751,2.602930,2.785861,2.693993,2.705275,2.747180,2.723004,2.701245,2.772967
2026-06-01T12:32:32.711,1.199,12,547255,4770749,V,2.706886,2.590037,2.557802,2.557802,2.578754,2.598095,2.709304,2.520733,2.435311,2.502198,2.568278,2.561026,2.588425,2.684322,2.714139,2.541685,2.550550,2.646447,2.615018,2.577143,2.664176,2.695604,2.552161,2.539267,2.575531,2.436923,2.536044,2.590037,2.689963,2.540879,2.581172,2.631135,2.599707,2.614213,2.701245,2.590037,2.444982,2.428864,2.528791,2.407106,2.493333,2.608571,2.781026,2.690769,2.704469,2.745568,2.714945,2.701245,2.779414
2026-06-01T12:32:32.711,1.199,13,547256,4770757,V,2.708498,2.587619,2.540879,2.556190,2.577143,2.591648,2.710110,2.518315,2.436117,2.497363,2.569890,2.533626,2.587619,2.687546,2.716557,2.542491,2.562637,2.669011,2.611795,2.575531,2.658535,2.690769,2.549744,2.544102,2.573113,2.436923,2.531209,2.593260,2.697216,2.540879,2.588425,2.637582,2.595678,2.606960,2.701245,2.590037,2.442564,2.416776,2.529597,2.402271,2.489304,2.598901,2.789890,2.689963,2.706080,2.745568,2.716557,2.702857,2.767326
2026-06-01T12:32:32.711,1.199,14,547257,4770766,V,2.734286,2.589231,2.542491,2.555385,2.574725,2.595678,2.711722,2.518315,2.436923,2.498168,2.560220,2.530403,2.592454,2.682711,2.722198,2.532820,2.568278,2.646447,2.609377,2.587619,2.673040,2.718974,2.551355,2.535238,2.572308,2.436923,2.540879,2.592454,2.692381,2.540879,2.585202,2.638388,2.601319,2.612601,2.698022,2.589231,2.452235,2.410330,2.525568,2.406300,2.491722,2.602930,2.785055,2.693993,2.711722,2.746374,2.714139,2.720586,2.772161
2026-06-01T12:32:32.711,1.199,15,547258,4770775,V,2.702857,2.585202,2.545714,2.522344,2.575531,2.595678,2.706886,2.515898,2.435311,2.502198,2.564249,2.538461,2.587619,2.685934,2.723809,2.536044,2.558608,2.651282,2.618242,2.579560,2.664176,2.686740,2.552161,2.538461,2.576337,2.442564,2.540879,2.592454,2.693993,2.533626,2.590842,2.640000,2.599707,2.610989,2.699634,2.586813,2.439341,2.421612,2.525568,2.402271,2.489304,2.605348,2.788278,2.635165,2.711722,2.744762,2.714945,2.707692,2.770549
2026-06-01T12:32:32.711,1.199,16,547259,4770784,V,2.706886,2.589231,2.545714,2.559414,2.574725,2.594872,2.705275,2.515091,2.434505,2.498168,2.550550,2.539267,2.593260,2.684322,2.711722,2.539267,2.564249,2.644835,2.615018,2.580366,2.661758,2.694798,2.552161,2.533626,2.575531,2.437729,2.540073,2.592454,2.713333,2.539267,2.586007,2.639194,2.596483,2.615018,2.703663,2.591648,2.444982,2.412747,2.531209,2.404689,2.512674,2.604542,2.786667,2.692381,2.702051,2.743956,2.712528,2.697216,2.769743
2026-06-01T12:32:32.711,1.199,17,547260,4770792,V,2.702857,2.585202,2.538461,2.555385,2.574725,2.593260,2.708498,2.514286,2.434505,2.500586,2.568278,2.536044,2.591648,2.685128,2.713333,2.542491,2.561831,2.645641,2.615018,2.571502,2.658535,2.699634,2.550550,2.538461,2.565055,2.436117,2.540879,2.597289,2.694798,2.519927,2.585202,2.637582,2.580366,2.611795,2.699634,2.586813,2.443370,2.411135,2.526374,2.400659,2.515091,2.599707,2.781026,2.688352,2.704469,2.742344,2.713333,2.701245,2.751209
2026-06-01T12:32:32.712,1.200,18,547261,4770801,V,2.718974,2.569890,2.543297,2.559414,2.573113,2.595678,2.706886,2.498168,2.431282,2.498974,2.573113,2.536850,2.585202,2.684322,2.693187,2.540073,2.559414,2.648059,2.613407,2.577143,2.639194,2.698022,2.552161,2.535238,2.577143,2.419194,2.543297,2.591648,2.683517,2.548938,2.582784,2.634359,2.602124,2.611795,2.698828,2.594066,2.441758,2.407106,2.529597,2.406300,2.492527,2.599707,2.785861,2.652894,2.687546,2.743150,2.710916,2.699634,2.767326
2026-06-01T12:32:32.712,1.200,19,547262,4770810,V,2.706886,2.586007,2.544908,2.553773,2.574725,2.595678,2.696410,2.523150,2.433700,2.497363,2.566667,2.534432,2.587619,2.682711,2.697216,2.541685,2.562637,2.648059,2.612601,2.577143,2.682711,2.687546,2.547326,2.536850,2.575531,2.410330,2.539267,2.589231,2.695604,2.535238,2.582784,2.635165,2.601319,2.612601,2.697216,2.586813,2.443370,2.395018,2.533626,2.400659,2.494139,2.606154,2.750403,2.685934,2.702051,2.738315,2.709304,2.697216,2.769743
2026-06-01T12:32:32.712,1.200,20,547263,4770818,V,2.703663,2.586007,2.540073,2.573113,2.575531,2.590037,2.704469,2.516703,2.432088,2.502198,2.579560,2.539267,2.584396,2.679487,2.716557,2.540073,2.563443,2.642417,2.612601,2.578754,2.661758,2.692381,2.546520,2.536850,2.585202,2.436117,2.547326,2.591648,2.704469,2.540073,2.569084,2.626300,2.602124,2.612601,2.698828,2.587619,2.443370,2.411941,2.527985,2.405494,2.491722,2.583590,2.782637,2.683517,2.701245,2.734286,2.713333,2.691575,2.769743
2026-06-01T12:32:32.712,1.200,21,547264,4770827,V,2.706886,2.588425,2.552161,2.568278,2.576337,2.594872,2.706886,2.511868,2.430476,2.495751,2.549744,2.551355,2.585202,2.686740,2.687546,2.541685,2.561026,2.650476,2.604542,2.579560,2.662564,2.693187,2.547326,2.536044,2.573919,2.435311,2.544102,2.591648,2.693993,2.536850,2.581172,2.636776,2.597289,2.610989,2.698828,2.589231,2.440952,2.413553,2.527985,2.401465,2.541685,2.600513,2.789890,2.684322,2.701245,2.739121,2.710110,2.693993,2.764908
2026-06-01T12:32:32.712,1.200,22,547265,4770836,V,2.706886,2.589231,2.541685,2.556190,2.573919,2.596483,2.707692,2.515091,2.432894,2.495751,2.579560,2.534432,2.606154,2.685128,2.723004,2.542491,2.560220,2.633553,2.613407,2.575531,2.663370,2.693187,2.550550,2.534432,2.575531,2.435311,2.540073,2.591648,2.691575,2.530403,2.581978,2.639194,2.601319,2.602930,2.698828,2.586813,2.442564,2.411941,2.528791,2.405494,2.491722,2.602930,2.778608,2.681905,2.702857,2.750403,2.718168,2.705275,2.776996
